name	group	weak	contrast	confusable	fix
icon_slot_b	slot	"top tab 4u tall; side bars 4u wide; 16x5 base dash borderline"	"none - all #C9CDD2 on #232629"	"icon_contract_escort; icon_slot_h"	"one bold full-width chevron ~20u thick stacked 2-deep; replace micro-bars with single 8u base rail"
icon_slot_c	slot	"5u gap between center 14u square and ring fills solid at 24px; 6u ring walls borderline"	"none - single light tone on #232629"	"icon_cargo_data_core; icon_slot_w"	"center square up to 26u with 8u+ clear moat; merge corner brackets into one continuous 10u frame"
icon_slot_engine	slot	"2u dark slit in base bar; 4u crossbar; 4u side slivers; 6x4 tabs"	"none - light on #232629"	"icon_cargo_fuel_cell; icon_slot_power"	"one huge bell-mouth flare ~30u wide at the base; 8u+ exhaust fins replacing the 4u slivers"
icon_slot_h	slot	"3u light stripes x3 vanish; skew bar ends taper thin"	"#232629 bars on dark panel = no silhouette, only the 3u dashes float"	"icon_slot_b; icon_cargo_fuel_cell"	"three 20u-tall light slash bars joined by one vertical spine; drop micro-stripes"
icon_slot_power	slot	"3u top/bottom rails; 5x5 side studs"	"none - light on #232629"	"icon_cargo_fuel_cell; icon_slot_engine"	"bold ~30u bolt sigil in the center cell; battery foot 14u tall full width"
icon_slot_s	slot	"4u base slots; 4u bolt arms; 4u side tabs"	"none - light on #232629"	"icon_service_insurance; icon_slot_u"	"dome band to 14u thick across full width; single 22u hex boss, drop micro-slots"
icon_slot_u	slot	"4u side slivers; 4u top/bottom tabs"	"full-bleed #232629 crossbar and base slot read as voids on dark panel, plate splits in two"	"icon_slot_w; icon_slot_s"	"U-trough walls to 14u; one bold 12u crossbeam kept inside the plate instead of full-bleed"
icon_slot_w	slot	"4u dark slivers x2; 5u bottom tabs; wedge cuts taper to points"	"none - dark cuts on light are strong"	"icon_slot_c; icon_cargo_data_core"	"merge twin wedges into one ~34u central W notch; frame to 12u, drop slivers"
icon_contract_escort	contract	"6x6 rivets borderline (nothing <5u)"	"#8D939B rivets on #C9CDD2 caps go muddy"	"icon_slot_b; icon_slot_h"	"one 44u chevron ~20u thick at center; pillars to 14u bracket frame, drop rivets"
icon_contract_expedition	contract	"3x3 light inlays; 5u side tabs; diamond tips to points"	"#8D939B diamonds/rects on #C9CDD2 ring and arrow muddy"	"icon_contract_hunt; icon_gear"	"arrow to 14u-thick spear crossing the ring gap; ring opening to 18u"
